2024-06-19 18:47:45,581 INFO    StreamThr :151054 [internal.py:wandb_internal():88] W&B internal server running at pid: 151054, started at: 2024-06-19 18:47:45.580909
2024-06-19 18:47:45,583 DEBUG   HandlerThread:151054 [handler.py:handle_request():158] handle_request: status
2024-06-19 18:47:45,583 INFO    WriterThread:151054 [datastore.py:open_for_write():87] open: /home/ale/TT_RLProject_2024/wandb/run-20240619_184745-pd04luhn/run-pd04luhn.wandb
2024-06-19 18:47:45,583 DEBUG   SenderThread:151054 [sender.py:send():379] send: header
2024-06-19 18:47:45,587 DEBUG   SenderThread:151054 [sender.py:send():379] send: run
2024-06-19 18:47:45,962 DEBUG   HandlerThread:151054 [handler.py:handle_request():158] handle_request: check_version
2024-06-19 18:47:45,963 INFO    SenderThread:151054 [dir_watcher.py:__init__():211] watching files in: /home/ale/TT_RLProject_2024/wandb/run-20240619_184745-pd04luhn/files
2024-06-19 18:47:45,963 INFO    SenderThread:151054 [sender.py:_start_run_threads():1191] run started: pd04luhn with start time 1718815665.58083
2024-06-19 18:47:45,963 DEBUG   SenderThread:151054 [sender.py:send_request():406] send_request: check_version
2024-06-19 18:47:46,009 DEBUG   HandlerThread:151054 [handler.py:handle_request():158] handle_request: run_start
2024-06-19 18:47:46,029 DEBUG   HandlerThread:151054 [system_info.py:__init__():26] System info init
2024-06-19 18:47:46,029 DEBUG   HandlerThread:151054 [system_info.py:__init__():41] System info init done
2024-06-19 18:47:46,029 INFO    HandlerThread:151054 [system_monitor.py:start():194] Starting system monitor
2024-06-19 18:47:46,029 INFO    SystemMonitor:151054 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-19 18:47:46,029 INFO    HandlerThread:151054 [system_monitor.py:probe():214] Collecting system info
2024-06-19 18:47:46,031 INFO    SystemMonitor:151054 [interfaces.py:start():188] Started cpu monitoring
2024-06-19 18:47:46,032 INFO    SystemMonitor:151054 [interfaces.py:start():188] Started disk monitoring
2024-06-19 18:47:46,032 INFO    SystemMonitor:151054 [interfaces.py:start():188] Started gpu monitoring
2024-06-19 18:47:46,033 INFO    SystemMonitor:151054 [interfaces.py:start():188] Started memory monitoring
2024-06-19 18:47:46,033 INFO    SystemMonitor:151054 [interfaces.py:start():188] Started network monitoring
2024-06-19 18:47:46,043 DEBUG   HandlerThread:151054 [system_info.py:probe():152] Probing system
2024-06-19 18:47:46,057 DEBUG   HandlerThread:151054 [system_info.py:_probe_git():137] Probing git
2024-06-19 18:47:46,061 DEBUG   HandlerThread:151054 [system_info.py:_probe_git():145] Probing git done
2024-06-19 18:47:46,061 DEBUG   HandlerThread:151054 [system_info.py:probe():200] Probing system done
