2024-06-19 18:44:53,244 INFO    StreamThr :149637 [internal.py:wandb_internal():88] W&B internal server running at pid: 149637, started at: 2024-06-19 18:44:53.244403
2024-06-19 18:44:53,246 DEBUG   HandlerThread:149637 [handler.py:handle_request():158] handle_request: status
2024-06-19 18:44:53,246 INFO    WriterThread:149637 [datastore.py:open_for_write():87] open: /home/ale/TT_RLProject_2024/wandb/run-20240619_184453-0a4cqd2l/run-0a4cqd2l.wandb
2024-06-19 18:44:53,247 DEBUG   SenderThread:149637 [sender.py:send():379] send: header
2024-06-19 18:44:53,251 DEBUG   SenderThread:149637 [sender.py:send():379] send: run
2024-06-19 18:44:53,636 INFO    SenderThread:149637 [dir_watcher.py:__init__():211] watching files in: /home/ale/TT_RLProject_2024/wandb/run-20240619_184453-0a4cqd2l/files
2024-06-19 18:44:53,636 INFO    SenderThread:149637 [sender.py:_start_run_threads():1191] run started: 0a4cqd2l with start time 1718815493.245026
2024-06-19 18:44:53,637 DEBUG   HandlerThread:149637 [handler.py:handle_request():158] handle_request: check_version
2024-06-19 18:44:53,638 DEBUG   SenderThread:149637 [sender.py:send_request():406] send_request: check_version
2024-06-19 18:44:53,682 DEBUG   HandlerThread:149637 [handler.py:handle_request():158] handle_request: run_start
2024-06-19 18:44:53,706 DEBUG   HandlerThread:149637 [system_info.py:__init__():26] System info init
2024-06-19 18:44:53,707 DEBUG   HandlerThread:149637 [system_info.py:__init__():41] System info init done
2024-06-19 18:44:53,707 INFO    HandlerThread:149637 [system_monitor.py:start():194] Starting system monitor
2024-06-19 18:44:53,707 INFO    SystemMonitor:149637 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-19 18:44:53,707 INFO    HandlerThread:149637 [system_monitor.py:probe():214] Collecting system info
2024-06-19 18:44:53,707 INFO    SystemMonitor:149637 [interfaces.py:start():188] Started cpu monitoring
2024-06-19 18:44:53,708 INFO    SystemMonitor:149637 [interfaces.py:start():188] Started disk monitoring
2024-06-19 18:44:53,709 INFO    SystemMonitor:149637 [interfaces.py:start():188] Started gpu monitoring
2024-06-19 18:44:53,710 INFO    SystemMonitor:149637 [interfaces.py:start():188] Started memory monitoring
2024-06-19 18:44:53,710 INFO    SystemMonitor:149637 [interfaces.py:start():188] Started network monitoring
2024-06-19 18:44:53,720 DEBUG   HandlerThread:149637 [system_info.py:probe():152] Probing system
2024-06-19 18:44:53,732 DEBUG   HandlerThread:149637 [system_info.py:_probe_git():137] Probing git
2024-06-19 18:44:53,736 DEBUG   HandlerThread:149637 [system_info.py:_probe_git():145] Probing git done
2024-06-19 18:44:53,736 DEBUG   HandlerThread:149637 [system_info.py:probe():200] Probing system done
